9C458A084BA;4,00;;TANQUE DE EXPANSAO COM TAMPA (1  SAIDA E SENSOR  ) 
6649C;2,00;;RESERVATORIO TANQUE DE EXPANSAO COM TAMPA   OBS  UMA SAIDA E 2 SENSORES **********************
4C459600AD;2,00;;CONJUNTO  FILTRO DE AR LEVES SEM ELEMENTO FORD CARGO 814 815 815E 915E 
BH1X7124DA;2,00;;CONJUNTO SINCRONIZADOR FTS16108 FTS16112 
5C457003BC;1,00;;CAIXA CAMBIO COMPLETA EATON FS6306A ( SISTEMA TRAMBULADOR VARAO )
5C4517618AA;2,00;;RESERVATORIO DE AGUA LIMPADOR PARABRISA  FORD CARGO 
BH5X2910DA;2,00;;TUBO SAIDA AGUA COMPRESSOR AR MOTOR ISB 6.7 6CIL EURO V
BH3T6720AA;1,00;;RESFRIADOR DE OLEO MOTOR CUMMINS ISF 2.8 EURO V 
TMG253853A;1,00;;FREIO MOTOR FORD CARGO  MOTOR CUMMINS ( 4 POLEGADAS )
XC458K141AA;1,00;;EMBLEMA GRADE FORD
U801140S;25,00;;GRAMPO AMARELO FORRO PORTA CARGO
TAR607055B;1,00;;CATRACA FREIO 28E AUTOMATICA TRASEIRA LE FORD /VW  ( COM ABS ) REPARO COM PISTAO AZUL
BH3X9661AA;2,00;;TAMPA FILTRO DE AR FORD CARGO ( VALVULA DE PO ) NOVO CARGO 
BG3X6600BA;1,00;;BOMBA OLEO MOTOR CUMMINS 6BTAA 5.9 6CIL
BG1X6600AA;2,00;;BOMBA OLEO MOTOR CUMMINS 6CTAA 8.3
1C159601AF;74,00;;FILTRO DE AR FORD TRANSIT MOTOR 2.2 16V MOTOR 2.4 16V
BH1X7K046AA;1,00;;TIRANTE VARAO CAMBIO COM TERMINAL LD/LE FORD VW  ( 240 A 270MM ) 
BH1X6207AA;60,00;;BUCHA BIELA MOTOR CUMMINS ISF 3.8 4CIL / ISB 3.9 4CIL / ISB 4.5 4CIL / ISB 5.9 6CIL / ISB 6.7 6CIL 
BH1X9A557BA;1,00;;TUBO SUPRIMENTO COMBUSTIVEL MOTOR ISB 4.5 4CIL EURO V  E  ISB 6.7 6CIL EURO V
BF8T6108BA;12,00;;PISTAO COM ANEIS MOTOR CUMMINS 4BTAA 3.9 6BTAA 5.9 ( 6632 )  STD 
DR2841;2,00;;FILTRO AR
BG5X6207AA;24,00;; BUCHA BIELA MOTOR CUMMINS 4BTAA 3.8  / 6BTAA 5.9 / ISB 3.9  / ISB 5.9   ( STD SEMI ACABADA )
BG5X1122BACAR;18,00;;PORCA
XC451190A2ACAR;1,00;;RETENTOR CUBO RODA DIAN
5249CAR;2,00;;FILTRO AR EXTERNO MBB AXOR  ( ARS9840 )
5380CAR;1,00;;FILTRO AR EXTERNO AXOR CONSTELLATION 
TH7511091CAR;2,00;;TIRANTE 
2T0525241;1,00;;ARRUELA SATELITE DIFERENCIAIS MERITOR RS160 MD165 RS168 MS185 186
BG3T6214A ;36,00;;PARAFUSO BIELA MOTOR CUMMINS ISB 4 E ISB 6 CIL ( BIELA FRATURADA )
1041016;2,00;;KIT EMBREAGEM 365MM COM TUBO GUIA 3000 LIBRAS ( REVESTIMENTO ORGANICO HD PUXAR )  
TAK525291ACAR;2,00;;CALCO
TF3511181CAR;4,00;;BUCHA MOLA
7S5AB22053AACAR  ;4,00;;7S5AB22053AACAR  
81632810;2,00;;CATRACA FREIO 24E AUTOMATICA TRASEIRA LD/LE VW/FORD/MB
2VG199381;12,00;;COXIM
2R0857119CAR;6,00;;TRAVA FECHO PAINEL
TE3103875;2,00;;PINO-GUIA
BC457E395DE ;3,00;;CABO DE ENGATE ALAVANCA MUDANCA CAMBIO COMPRIMENTO 3850MM  ( VERMELHO ) 3005134
2P0121051B;3,00;;MANGUEIRA
F1HZ8600DCAR;1,00;;HELICE
BH3X2L361CA;3,00;;LONA FREIO DIANTEIRO E TRASEIRO FORD CARGO 1119  VW  ( STD )  325X120MM 
6C112B120AD;1,00;;PIN�A DE FREIO DIANTEIRO  FORD TRANSIT LD
TRA253853;1,00;;FREIO MOTOR COMPLETO 
3C352210AB;1,00;;CONJUNTO DE FREIO TRASEIRO LE COMPLETO ( SEM ABS )
BG5X7R067AA;1,00;;ROLAMENTO CUBO 10 FUROS MONTA COM INTERNO 2S0498625 ( C�MBIO EATON 6 VELOCIDADES / FSO4505C )
CC457502EA;1,00;;KIT EMBREAGEM 330MM FORD VOLKS MOTOR CUMMINS ISF 3.8 ISB 4.5 
BG3T10B300AA;4,00;;TENSIONADOR CORREIA MOTOR CUMMINS 4BTAA 3.96 BTAA 5.9  ( 6CTAA 8.3 AR CONDICIONADO ) POLIA LISA 
6C458286AD;2,00;;MANGUEIRA INFERIOR DO RADIADOR
BF6X2L361AA;4,00;;LONA FREIO DIANTEIRO TRASEIRO ( SOBRE MEDIDA 1X )
CC1Q6C301FA;5,00;;CORREIA ALTERNADOR 
8C455270AA;2,00;;ABRACADEIRA 4PL TUBO FLEXIVEL 4PO
MB3X1238GACAR;2,00;;ROLAMENTO TRASEIRO
2T2937099CAR;1,00;;RELE INDICADOR NIVEL AGUA
1C154B462CA;2,00;;CINTA 
BH0X2910EA;1,00;;TUBO ENTRADA AGUA COMPRESSOR MOTOR ISB 3.9 4CIL EURO III
2R0105276;1,00;;ROLAMENTO VOLANTE MOTOR E  ALTERNADOR  ( SUBSTITUI BUCHA )
BF8T390859A;3,00;;PRISIONEIRO M10X1.50X42 
PL06080042CAR;2,00;;LANT LAT
T14525269U;3,00;;ESPACADOR
BH1X6379AA;22,00;;PARAFUSO  COM ARRUELA PRESSAO
BH2X6A582AA;2,00;;ISOLADOR RUIDO TAMPA VALVULAS MOTOR CUMMINS ISB
R1071CAR;1,00;;ROL.DO-CARDAN-S.REI
BH5X6211A;1,00;;BRONZINA BIELA MOTOR CUMMINS ISL 8.9 EURO V    STD  ( JG 6 CIL )
BG5X6008BA;1,00;;JOGO JUNTAS INFEIROR MOTOR CUMMINS  ISB 4CIL . 3.9 EURO II    ISBE 4.5 4CIL. EURO V
BC457K391AA;6,00;;CLIP PRESILHA DOS CABOS DE CONTROLE DA ALAVANCA DE MUDANCAS FORD CARGO 
TJG311463;2,00;;JUNTA VALVULA TRANSFERENCIA CAMBIO EATON RT11710 RT8609 RT14918 RT7608 RT8908 RT16918 
T06411041;1,00;;BUCHA BARRA ESTABILIZADORA DIANTEIRA VW
BG9X6415AA;1,00;;TUBO DE ENCHIMENTO DE OLEO
2R0103548E;12,00;;CALCO
BF8X9A559AA;1,00;;TUBO INJETOR 4 CIL MOTOR CUMMINS B
23B953037CAR;6,00;;LENTE DO PISCA
2SP103593CAR;12,00;;ANEL 
BG5X7049AACAR;1,00;;TAMPA EIXO PILOTO
T12945096CAR;1,00;;LANT.TRAS.L.D.C/VIGIA-(MARTMITA)
T2D312043;51,00;;ROLETE ENGRENAGEM 1A  RE EIXO PILOTO CAMBIO EATON CL450 FS4005 FS4205 FS5005 
BC4Z6754FCAR;1,00;;VARETA
2TA601161CAR;17,00;;PARAFUSO RODA TRASEIRO
2R0501317CAR;4,00;;RETENTOR CUBO
07W115436CAR;1,00;;FILTRO LUBRIFICANTE
BG5X6320AA;56,00;;TUCHO VALVULA MOTOR CUMMINS ISB 3.9 EURO III  ISB 5.9 EURO III   ISB 4.5  EURO V ISB 6.7 EURO V 
2V5201512;1,00;;FILTRO DIESEL COMBUSTIVEL CONSTELLATION MOTOR MAN D08 EURO 5 ..2018  MAN TGX MOTOR D2676 
BF5X86485AA;10,00;;ANEL VEDACAO SAIDA TURBO RADIADOR INTECOOLER MOTOR CUMMINS
TJG867162A ;4,00;;PUXADOR AUXILIAR DA PORTA FORD CARGO  LD
BRO0112202;2,00;;MANGUEIRA TRANSFERENCIA DE AGUA
2P0145367B;2,00;;MANGUEIRA TRANSFERENCIA DE AGUA
2T2198151;6,00;;JG ANEL MOTOR CUMMINS SERIE ISC 8.3  ISL 8.9L ( PARA PISTAO ARTICULADO  1CIL)
BH3X9601AA;7,00;;FILTRO AR EXTERNO FORD F250 F350 CARGO 814 815 / VW / MB ( COM TELA ) 
BG5X6584AA;4,00;;JUNTA CARCACA BALANCIM MOTOR ISB 3.9 EURO III ISB 4.5 EURO V 
BG5X12C650AA;1,00;;RESFRIADOR CONTROLE MODULO ELETRONICO MOTOR CUMMINS  ISB 4CIL 6CIL  ( SUPORTE )
BH0X3K506AA;6,00;;JUNTA DA BOMBA HIDRAULICA
2R0398001CAR;1,00;;JOGO DE JUNTA DO CAMBIO
BH1X6375BA;1,00;;VOLANTE MOTOR CUMMINS ISB 4.5 / 6.7 EURO V ( 365MM 12 FUROS 138 DENTES ) 
DC4618045CB;2,00;;AMORTECEDOR DIANTEIRO SUSPENSAO
"	BH1X6012BA";10,00;;INJETOR OLEO JETCOOLER   PULVERIZADOR DE RESFRIAMENTO DO PISTAO MOTOR ISC 8.3  ISL 8.9
A30732;1,00;;COROA E PINHAO CONJUNTO REPOS. 4.33/1 39X9
BK3Q6019BB;1,00;;TAMPA FRONTAL MOTOR / 76191
